match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1984-07-28|17|North Melbourne Kangaroos|St Kilda Saints,1984-07-28,1984,45679.0,6.0,45679.0,2.0,45679,36
1984-08-04|18|St Kilda Saints|Western Bulldogs,1984-08-04,1984,45679.0,9.0,45679.0,2.0,45679,44
1984-08-11|19|Richmond Tigers|St Kilda Saints,1984-08-11,1984,45679.0,6.0,45679.0,2.0,45679,43
1984-08-18|20|Essendon Bombers|St Kilda Saints,1984-08-18,1984,45679.0,5.0,45679.0,4.0,45679,45
1984-08-25|21|Melbourne Demons|St Kilda Saints,1984-08-25,1984,45679.0,11.0,45679.0,3.0,45679,81
1984-09-01|22|Fitzroy Lions|St Kilda Saints,1984-09-01,1984,,,45679.0,4.0,45679,76
1985-03-30|1|St Kilda Saints|Sydney Swans,1985-03-30,1985,45679.0,8.0,45679.0,2.0,45679,30
1985-04-06|2|Carlton Blues|St Kilda Saints,1985-04-06,1985,45679.0,6.0,,,45679,27
1985-04-13|3|Richmond Tigers|St Kilda Saints,1985-04-13,1985,45679.0,6.0,45679.0,3.0,45679,43
1985-04-20|4|North Melbourne Kangaroos|St Kilda Saints,1985-04-20,1985,45679.0,8.0,45679.0,4.0,45679,56
1985-04-25|5|Fitzroy Lions|St Kilda Saints,1985-04-25,1985,45679.0,5.0,45679.0,2.0,45679,32
1985-05-11|7|Hawthorn Hawks|St Kilda Saints,1985-05-11,1985,45679.0,10.0,45679.0,5.0,45679,74
1985-05-12|7|Carlton Blues|Sydney Swans,1985-05-12,1985,45879.0,6.0,,,45879,23
1985-05-18|8|Carlton Blues|Richmond Tigers,1985-05-18,1985,45879.0,8.0,,,45879,28
1985-05-18|8|Melbourne Demons|St Kilda Saints,1985-05-18,1985,45679.0,7.0,,,45679,14
1985-05-25|9|Carlton Blues|Fitzroy Lions,1985-05-25,1985,45879.0,15.0,,,45879,34
1985-05-25|9|Collingwood Magpies|St Kilda Saints,1985-05-25,1985,45679.0,10.0,45679.0,3.0,45679,68
1985-06-01|10|Carlton Blues|Hawthorn Hawks,1985-06-01,1985,45879.0,16.0,,,45879,63
1985-06-01|10|Essendon Bombers|St Kilda Saints,1985-06-01,1985,,,45679.0,7.0,45679,105
1985-06-01|10|Melbourne Demons|Sydney Swans,1985-06-01,1985,45840.0,11.0,45840.0,3.0,45840,58
1985-06-08|11|Essendon Bombers|Sydney Swans,1985-06-08,1985,45840.0,2.0,45840.0,1.0,45840,13
1985-06-08|11|St Kilda Saints|Western Bulldogs,1985-06-08,1985,45679.0,11.0,45679.0,6.0,45679,74
1985-06-10|11|Carlton Blues|Collingwood Magpies,1985-06-10,1985,45879.0,8.0,,,45879,21
1985-06-15|12|Carlton Blues|Western Bulldogs,1985-06-15,1985,45879.0,16.0,,,45879,60
1985-06-16|12|St Kilda Saints|Sydney Swans,1985-06-16,1985,45679.0,11.0,45679.0,7.0,45679,101
1985-06-22|13|Carlton Blues|St Kilda Saints,1985-06-22,1985,45679.0,7.0,45679.0,6.0,45679,65
1985-06-28|14|Carlton Blues|North Melbourne Kangaroos,1985-06-28,1985,45879.0,12.0,,,45879,51
1985-06-29|14|Richmond Tigers|St Kilda Saints,1985-06-29,1985,45679.0,9.0,45679.0,3.0,45679,52
1985-07-06|15|Carlton Blues|Geelong Cats,1985-07-06,1985,45879.0,11.0,45879.0,1.0,45879,48
1985-07-06|15|Collingwood Magpies|Essendon Bombers,1985-07-06,1985,45852.0,2.0,45852.0,2.0,45852,22
1985-07-06|15|North Melbourne Kangaroos|St Kilda Saints,1985-07-06,1985,45679.0,13.0,45679.0,6.0,45679,88
1985-07-13|16|Fitzroy Lions|St Kilda Saints,1985-07-13,1985,45679.0,7.0,45679.0,5.0,45679,53
1985-07-20|16|Carlton Blues|Melbourne Demons,1985-07-20,1985,45879.0,22.0,,,45879,70
1985-07-27|17|Carlton Blues|Essendon Bombers,1985-07-27,1985,,,,,45879,25
1985-07-27|17|Geelong Cats|St Kilda Saints,1985-07-27,1985,45679.0,7.0,45679.0,6.0,45679,74
1985-08-03|18|Carlton Blues|Sydney Swans,1985-08-03,1985,45879.0,14.0,,,45879,48
1985-08-03|18|Hawthorn Hawks|St Kilda Saints,1985-08-03,1985,45679.0,7.0,45679.0,1.0,45679,42
1985-08-10|19|Carlton Blues|Richmond Tigers,1985-08-10,1985,45879.0,12.0,,,45879,46
1985-08-10|19|Fitzroy Lions|Western Bulldogs,1985-08-10,1985,45361.0,1.0,,,45361,6
1985-08-10|19|Melbourne Demons|St Kilda Saints,1985-08-10,1985,45679.0,6.0,45679.0,3.0,45679,41
1985-08-17|20|Carlton Blues|Fitzroy Lions,1985-08-17,1985,45361.0,9.0,,,45361,26
1985-08-17|20|Collingwood Magpies|St Kilda Saints,1985-08-17,1985,45679.0,7.0,45679.0,1.0,45679,35
1985-08-17|20|Geelong Cats|Sydney Swans,1985-08-17,1985,45840.0,11.0,,,45840,39
1985-08-24|21|Carlton Blues|Hawthorn Hawks,1985-08-24,1985,45879.0,15.0,,,45879,60
1985-08-24|21|Essendon Bombers|St Kilda Saints,1985-08-24,1985,45679.0,9.0,45679.0,5.0,45679,79
1985-08-24|21|Fitzroy Lions|North Melbourne Kangaroos,1985-08-24,1985,45361.0,14.0,,,45361,45
1985-08-25|21|Melbourne Demons|Sydney Swans,1985-08-25,1985,45840.0,13.0,,,45840,45
1985-08-31|22|Carlton Blues|Collingwood Magpies,1985-08-31,1985,45879.0,15.0,,,45879,54
1985-08-31|22|Fitzroy Lions|Geelong Cats,1985-08-31,1985,45361.0,18.0,,,45361,49
1985-08-31|22|St Kilda Saints|Western Bulldogs,1985-08-31,1985,45679.0,11.0,45679.0,4.0,45679,82
1985-09-01|22|Essendon Bombers|Sydney Swans,1985-09-01,1985,45852.0,15.0,45852.0,7.0,45852,111
1985-09-07|EF|Carlton Blues|North Melbourne Kangaroos,1985-09-07,1985,45879.0,5.0,,,45879,19
1985-09-14|SF|Essendon Bombers|Hawthorn Hawks,1985-09-14,1985,45852.0,4.0,,,45852,19
1985-09-28|GF|Essendon Bombers|Hawthorn Hawks,1985-09-28,1985,45852.0,11.0,45852.0,6.0,45852,99
1986-03-29|1|Collingwood Magpies|Essendon Bombers,1986-03-29,1986,45852.0,13.0,45852.0,7.0,45852,102
1986-03-29|1|Melbourne Demons|Richmond Tigers,1986-03-29,1986,45698.0,12.0,45698.0,2.0,45698,42
1986-03-31|1|Carlton Blues|Hawthorn Hawks,1986-03-31,1986,45380.0,16.0,,,45380,50
1986-03-31|1|St Kilda Saints|Western Bulldogs,1986-03-31,1986,45679.0,5.0,45679.0,1.0,45679,19
1986-04-05|2|Carlton Blues|Richmond Tigers,1986-04-05,1986,45380.0,32.0,,,45380,90
1986-04-05|2|Essendon Bombers|Geelong Cats,1986-04-05,1986,45852.0,10.0,,,45852,58
1986-04-05|2|Fitzroy Lions|Western Bulldogs,1986-04-05,1986,45361.0,7.0,,,45361,23
1986-04-05|2|Melbourne Demons|St Kilda Saints,1986-04-05,1986,45698.0,14.0,,,45698,57
