match_id,match_date,season,round,home_team,away_team,venue,home_score,away_score,target_home_win,target_draw,target_result,target_margin,home_win_rate_last5,away_win_rate_last5,home_avg_score_for_last5,away_avg_score_for_last5,home_avg_score_against_last5,away_avg_score_against_last5,home_win_streak,away_win_streak,home_rest_days,away_rest_days,home_ladder_points_prior,away_ladder_points_prior,home_ladder_position_prior,away_ladder_position_prior,ladder_points_diff,h2h_home_win_rate_prior,h2h_games_prior
13976,1983-04-25,1983,5,Richmond Tigers,western bulldogs,Melbourne Cricket Ground,114,116,0,0,L,-2,0.0,,81.25,,119.0,,0,0,9.0,,0,0,16.0,,0,,0
10727,1983-04-30,1983,6,Carlton Blues,Geelong Cats,Princes Park,85,95,0,0,L,-10,0.6,0.8,95.8,100.2,95.4,83.4,0,0,7.0,5.0,12,16,6.0,1.0,-4,,0
11125,1983-04-30,1983,6,Collingwood Magpies,North Melbourne Kangaroos,Victoria Park,130,108,1,0,W,22,0.2,0.5,101.6,98.25,111.8,101.5,0,0,7.0,5.0,4,8,15.0,7.0,-4,,0
11509,1983-04-30,1983,6,Essendon Bombers,Western Bulldogs,Windy Hill,181,49,1,0,W,132,0.6,0.75,113.2,100.75,103.6,91.0,2,3,5.0,14.0,12,12,5.0,4.0,0,,0
12725,1983-04-30,1983,6,Hawthorn Hawks,richmond tigers,Waverley Park,88,106,0,0,L,-18,0.75,,108.25,,69.5,,1,0,7.0,,12,0,3.0,,12,,0
13519,1983-04-30,1983,6,Melbourne Demons,Sydney Swans,Melbourne Cricket Ground,126,93,1,0,W,33,0.25,0.5,103.25,90.25,111.25,125.5,0,1,14.0,6.0,4,8,16.0,9.0,-4,,0
14352,1983-04-30,1983,6,St Kilda Saints,Fitzroy Lions,Moorabbin Oval,102,143,0,0,L,-41,0.0,0.75,82.0,114.75,138.0,76.0,0,3,6.0,7.0,0,12,19.0,3.0,-12,,0
11911,1983-05-07,1983,7,Fitzroy Lions,geelong cats,Junction Oval,76,67,1,0,W,9,0.8,,120.4,,81.2,,4,0,7.0,,16,0,2.0,,16,,0
12726,1983-05-07,1983,7,Hawthorn Hawks,North Melbourne Kangaroos,Princes Park,91,142,0,0,L,-51,0.6,0.4,104.2,100.2,76.8,107.2,0,0,7.0,7.0,12,8,4.0,9.0,4,,0
13520,1983-05-07,1983,7,Melbourne Demons,St Kilda Saints,Waverley Park,108,75,1,0,W,33,0.4,0.0,107.8,86.0,107.6,139.0,1,0,7.0,7.0,8,0,8.0,20.0,8,,0
13978,1983-05-07,1983,7,Richmond Tigers,Essendon Bombers,Melbourne Cricket Ground,112,137,0,0,L,-25,0.0,0.8,87.8,127.4,118.4,91.2,0,3,12.0,7.0,0,16,19.0,3.0,-16,,0
15426,1983-05-07,1983,7,Western Bulldogs,Collingwood Magpies,Western Oval,82,88,0,0,L,-6,0.6,0.2,90.4,100.6,109.0,108.4,0,1,7.0,7.0,12,8,8.0,9.0,4,,0
14733,1983-05-08,1983,7,Sydney Swans,Carlton Blues,Sydney Cricket Ground,118,149,0,0,L,-31,0.4,0.4,90.8,85.6,125.6,99.2,0,0,8.0,8.0,8,12,10.0,7.0,-4,,0
11127,1983-05-14,1983,8,Collingwood Magpies,Richmond Tigers,Waverley Park,107,59,1,0,W,48,0.4,0.0,99.0,95.0,104.6,118.6,2,0,7.0,7.0,12,0,8.0,19.0,12,,0
12334,1983-05-14,1983,8,Geelong Cats,Sydney Swans,GMHBA Stadium,84,110,0,0,L,-26,0.8,0.2,98.0,92.2,85.4,133.4,1,0,14.0,6.0,20,8,3.0,10.0,12,,0
12727,1983-05-14,1983,8,Hawthorn Hawks,Essendon Bombers,Princes Park,137,95,1,0,W,42,0.4,0.8,108.4,128.6,96.2,99.6,0,4,7.0,7.0,12,20,6.0,2.0,-8,,0
13127,1983-05-14,1983,8,North Melbourne Kangaroos,Western Bulldogs,Aegis Park,189,74,1,0,W,115,0.4,0.6,108.6,91.8,108.0,105.4,1,0,7.0,7.0,12,12,8.0,9.0,0,,0
13521,1983-05-14,1983,8,Melbourne Demons,Fitzroy Lions,Melbourne Cricket Ground,87,126,0,0,L,-39,0.6,1.0,104.4,113.2,95.6,68.4,2,5,7.0,7.0,12,20,8.0,1.0,-8,,0
14354,1983-05-14,1983,8,St Kilda Saints,Carlton Blues,Moorabbin Oval,89,145,0,0,L,-56,0.0,0.6,87.0,99.0,134.4,103.0,0,1,7.0,6.0,0,16,20.0,6.0,-16,,0
10730,1983-05-21,1983,9,Carlton Blues,Hawthorn Hawks,Princes Park,104,96,1,0,W,8,0.6,0.4,108.6,101.6,103.4,106.8,2,1,7.0,7.0,20,16,4.0,5.0,4,,0
11512,1983-05-21,1983,9,Essendon Bombers,Melbourne Demons,Windy Hill,149,115,1,0,W,34,0.8,0.4,136.4,98.0,107.6,100.8,0,0,7.0,7.0,20,12,3.0,8.0,8,,0
11913,1983-05-21,1983,9,Fitzroy Lions,Western Bulldogs,Waverley Park,99,145,0,0,L,-46,1.0,0.4,119.0,86.8,74.6,126.8,6,0,7.0,7.0,24,12,1.0,10.0,12,,0
12335,1983-05-21,1983,9,Geelong Cats,North Melbourne Kangaroos,GMHBA Stadium,84,124,0,0,L,-40,0.6,0.6,94.6,137.8,88.2,105.2,0,2,7.0,7.0,20,16,4.0,5.0,4,,0
14355,1983-05-21,1983,9,St Kilda Saints,Richmond Tigers,Moorabbin Oval,108,93,1,0,W,15,0.0,0.0,96.4,86.8,129.2,116.2,0,0,7.0,7.0,0,0,20.0,19.0,0,,0
14735,1983-05-22,1983,9,Sydney Swans,collingwood magpies,Sydney Cricket Ground,121,100,1,0,W,21,0.4,,105.2,,136.2,,1,0,8.0,,12,0,10.0,,12,,0
11129,1983-05-28,1983,10,Collingwood Magpies,fitzroy lions,Victoria Park,77,93,0,0,L,-16,0.6,1.0,103.0,88.0,97.0,43.0,3,1,14.0,54.0,16,4,7.0,12.0,12,,0
11513,1983-05-28,1983,10,Essendon Bombers,Geelong Cats,Windy Hill,109,97,1,0,W,12,0.8,0.4,138.0,92.6,107.2,103.8,1,0,7.0,7.0,24,20,2.0,5.0,4,,0
13129,1983-05-28,1983,10,North Melbourne Kangaroos,Carlton Blues,Aegis Park,193,82,1,0,W,111,0.6,0.6,137.2,109.6,101.4,104.6,3,3,7.0,7.0,20,24,4.0,3.0,-4,,0
13523,1983-05-28,1983,10,Melbourne Demons,Hawthorn Hawks,Waverley Park,109,171,0,0,L,-62,0.4,0.4,105.2,101.4,108.4,104.0,0,0,7.0,7.0,12,16,10.0,6.0,-4,,0
13981,1983-05-28,1983,10,Richmond Tigers,sydney swans,Melbourne Cricket Ground,106,94,1,0,W,12,0.0,0.0,96.2,52.0,119.0,125.0,0,0,7.0,42.0,0,0,21.0,22.0,0,,0
15429,1983-05-28,1983,10,Western Bulldogs,St Kilda Saints,Western Oval,128,82,1,0,W,46,0.4,0.2,93.6,102.2,130.8,129.8,1,1,7.0,7.0,16,4,9.0,18.0,12,,0
10732,1983-06-04,1983,11,Carlton Blues,Essendon Bombers,Waverley Park,101,126,0,0,L,-25,0.6,0.8,113.0,134.2,118.2,102.0,0,2,7.0,7.0,24,28,4.0,1.0,-4,,0
11915,1983-06-04,1983,11,Fitzroy Lions,Richmond Tigers,Junction Oval,136,114,1,0,W,22,0.8,0.2,113.8,96.8,93.2,112.4,0,1,14.0,7.0,24,4,3.0,17.0,20,,0
12730,1983-06-04,1983,11,Hawthorn Hawks,geelong cats,Princes Park,88,95,0,0,L,-7,0.4,0.0,116.6,67.0,111.2,76.0,1,0,7.0,28.0,20,0,5.0,19.0,20,,0
13524,1983-06-04,1983,11,Melbourne Demons,North Melbourne Kangaroos,Melbourne Cricket Ground,125,139,0,0,L,-14,0.4,0.8,109.0,151.2,122.8,92.2,0,4,7.0,7.0,12,24,10.0,3.0,-12,,0
14357,1983-06-04,1983,11,St Kilda Saints,Collingwood Magpies,Moorabbin Oval,144,160,0,0,L,-16,0.2,0.6,91.2,95.0,123.4,87.4,0,0,7.0,7.0,4,16,19.0,8.0,-12,,0
14737,1983-06-05,1983,11,Sydney Swans,western bulldogs,Sydney Cricket Ground,121,102,1,0,W,19,0.6,1.0,120.4,116.0,119.2,114.0,2,1,14.0,41.0,16,4,9.0,16.0,12,,0
11515,1983-06-11,1983,12,Essendon Bombers,Sydney Swans,Windy Hill,156,83,1,0,W,73,0.8,0.6,123.2,112.6,112.4,112.2,3,3,7.0,6.0,32,20,1.0,9.0,12,0.0,1
12731,1983-06-11,1983,12,Hawthorn Hawks,Fitzroy Lions,Princes Park,167,134,1,0,W,33,0.4,0.8,116.6,116.0,109.0,103.0,0,1,7.0,7.0,20,28,5.0,3.0,-8,,0
14358,1983-06-11,1983,12,St Kilda Saints,North Melbourne Kangaroos,Moorabbin Oval,104,135,0,0,L,-31,0.2,1.0,99.6,157.4,126.8,91.2,0,5,7.0,7.0,4,28,19.0,2.0,-24,,0
11131,1983-06-13,1983,12,Collingwood Magpies,Melbourne Demons,Waverley Park,87,68,1,0,W,19,0.8,0.2,112.4,108.8,97.2,132.0,1,0,9.0,9.0,20,12,6.0,10.0,8,1.0,1
13983,1983-06-13,1983,12,Richmond Tigers,Carlton Blues,Melbourne Cricket Ground,141,91,1,0,W,50,0.2,0.6,96.8,116.2,116.4,124.4,0,0,9.0,9.0,4,24,18.0,6.0,-20,0.0,1
15431,1983-06-13,1983,12,Western Bulldogs,geelong cats,Western Oval,102,91,1,0,W,11,0.4,0.5,95.6,81.0,127.8,82.0,2,1,16.0,9.0,20,4,8.0,17.0,16,,0
10734,1983-06-18,1983,13,Carlton Blues,Western Bulldogs,Princes Park,171,82,1,0,W,89,0.4,0.6,104.6,106.2,129.0,109.8,0,3,5.0,5.0,24,24,6.0,7.0,0,0.0,1
11917,1983-06-18,1983,13,Fitzroy Lions,north melbourne kangaroos,Junction Oval,220,70,1,0,W,150,0.6,1.0,114.2,185.0,116.0,45.0,0,1,7.0,69.0,28,4,3.0,13.0,24,,0
12339,1983-06-18,1983,13,Geelong Cats,Collingwood Magpies,GMHBA Stadium,101,85,1,0,W,16,0.2,0.8,94.0,103.8,109.8,89.2,0,2,21.0,5.0,20,24,8.0,6.0,-4,1.0,1
13526,1983-06-18,1983,13,Melbourne Demons,Richmond Tigers,Melbourne Cricket Ground,123,109,1,0,W,14,0.0,0.4,100.8,102.6,134.4,107.2,0,1,5.0,5.0,12,8,10.0,12.0,4,1.0,1
14359,1983-06-18,1983,13,St Kilda Saints,Essendon Bombers,Waverley Park,91,138,0,0,L,-47,0.2,0.8,105.4,127.0,132.2,106.6,0,4,7.0,7.0,4,36,19.0,1.0,-32,0.0,1
14739,1983-06-19,1983,13,Sydney Swans,Hawthorn Hawks,Sydney Cricket Ground,78,110,0,0,L,-32,0.6,0.6,110.6,131.8,118.2,107.4,0,1,8.0,8.0,20,24,9.0,5.0,-4,0.0,1
11133,1983-06-25,1983,14,Collingwood Magpies,carlton blues,Victoria Park,100,45,1,0,W,55,0.6,,103.2,,93.0,,0,0,7.0,,24,0,7.0,,24,,0
11517,1983-06-25,1983,14,Essendon Bombers,fitzroy lions,Windy Hill,58,65,0,0,L,-7,1.0,1.0,135.6,90.5,97.4,60.0,5,2,7.0,28.0,40,8,1.0,11.0,32,,0
12733,1983-06-25,1983,14,Hawthorn Hawks,St Kilda Saints,Princes Park,143,74,1,0,W,69,0.6,0.2,126.4,105.8,104.0,130.8,2,0,6.0,7.0,28,4,4.0,19.0,24,1.0,1
13133,1983-06-25,1983,14,North Melbourne Kangaroos,Sydney Swans,Aegis Park,82,50,1,0,W,32,1.0,0.6,156.0,102.6,93.8,110.4,6,0,14.0,6.0,32,20,3.0,9.0,12,,0
13527,1983-06-25,1983,14,Melbourne Demons,western bulldogs,Melbourne Cricket Ground,99,85,1,0,W,14,0.2,0.5,108.0,109.0,131.0,117.5,1,0,7.0,20.0,16,4,10.0,18.0,12,,0
13985,1983-06-25,1983,14,Richmond Tigers,geelong cats,Waverley Park,70,69,1,0,W,1,0.4,0.3333333333333333,112.6,84.33333333333333,110.4,88.66666666666667,0,0,7.0,12.0,8,4,12.0,17.0,4,,0
